review_number,source,source_sha256,status,changed_pixels,changed_components,unsafe_components,unsafe_reason,pixels_different_from_current,candidate_png_sha256,alpha_unchanged,protected_chromatic_pixels_unchanged,fit_scale,fit_bbox
14716,picons/80.0e/orion-express/transparent/1_0_1_336_CE_1_3200000_0_0_0.png,ab9a388da45e6fe31c1e1f7b870a93a2301894ea6efbdf2e41ad4ac61d212a32,REVIEW,13890,0,0,V9 achromatic-only fallback,0,68b6cc0dbeaa812418d45d8fb867511e723ae44973856219a8f8cc3e3e204767,True,True,0.87878788,"7,0,214,132"
3163,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_19_4335_300C_13E_820000_0_0_0.png,0f9d2f5863e2900f3548bc0601df5b18c9484d88a80abe7b7abb791d6c71f862,REVIEW,0,0,7,touches-protected-chroma,0,f24b9673d15d25355e109f249ed2ba3fb7a0a7f76730decc4894e81345eba97e,True,True,1.00000000,"16,40,204,91"
3133,picons/13.0e/rai/transparent/1_0_1_4536_30D4_13E_820000_0_0_0.png,d5c8ca5b5e6fd264b3501753862e94bbc34871a9fc757ace70a674d979d7d3c1,REVIEW,0,0,7,touches-protected-chroma,0,de4277b751a88c8eb704fa19a373deee304235a8f7b064e6aa14d5ee6827fa93,True,True,1.00000000,"58,15,160,118"
3172,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_2_4347_300C_13E_820000_0_0_0.png,7ad36164a1780be8b8e5606fbc62969c16c83165257f1be833e1a3189a017169,REVIEW,1056,0,0,V9 achromatic-only fallback,0,65c705d981e7cf9065a35c75d3fba013abe7db3e62a458f2111d2bd26f2f4cdc,True,True,1.00000000,"68,15,151,117"
3174,picons/13.0e/schweizer-radio-und-fernsehen/transparent/1_0_2_4349_300C_13E_820000_0_0_0.png,4e2ab49f2f5d87967b41b778b2a2f66f9d412904e7aa019ba073c4000146ac83,REVIEW,0,0,30,touches-protected-chroma,0,cb2852a712d4d17a4f614ef117f08fc06a9d1035f4cbaac221ca096cab56dc10,True,True,1.00000000,"68,15,151,117"
12062,picons/5.0w/rai/transparent/1_0_16_404_1_217C_DDE0000_0_0_0.png,d42da6aaf0038082097fb291589aa0af88c29fb896ecd82b1d7cdb545a965bc3,REVIEW,115,44,43,touches-protected-chroma,93,816cda842042e8bb92e5f861042370b89964b38088418c9fe621f3b6499e472d,True,True,0.93577982,"1,32,219,100"
PASS-control,picons/0.8w/digislovakia/transparent/1_0_16_3F6_AF1_BB_E080000_0_0_0.png,9511e45fbb54d433bac178437d0f4abb11248b68f675fa449f9c058ba2a3224b,PASS,0,0,0,,0,ef9f0d92c37e223216806fa8a5f2ab9e0316a11c70b91eb0263a383a6923f195,True,True,1.00000000,"43,18,177,114"
