review_number,source,source_sha256,status,changed_pixels,changed_components,unsafe_components,unsafe_reason,pixels_different_from_current,candidate_png_sha256,alpha_unchanged,protected_chromatic_pixels_unchanged,fit_scale,fit_bbox,style,current_output,current_output_sha256
11126,picons/42.0e/show-intercom/transparent/1_0_2_29D5_A2E8_42E_1A40000_0_0_0.png,eaf5d57b9b375ac80517e13e621eda8b7d7d1d5ad9a226e99facf216ee854110,REVIEW,7657,15,2,two-tone,71,6dc60fc3e589583e21c04be40b1be1ebc5c249fed0fc6a264d78cfe4d92fdf15,True,True,0.87878788,"2,0,218,132",white,picons/42.0e/show-intercom/white/1_0_2_29D5_A2E8_42E_1A40000_0_0_0.png,f4f65320d9a13f5f88b5378b28d942d11cbcb4f63d30a8ae8ca11dbc641ebd73
14398,picons/80.0e/harmonic/transparent/1_0_1_1E_14_1113_3200000_0_0_0.png,a34b447c857a028f112c13efca55f494f657bd4a6c9ebf0a24972f1ea822b74a,AUTO-FIXED,7497,14,0,,0,64db5cba739584bb04328933a2a1ef6b104312e6b3bb61b000619091bef6debd,True,True,0.95327103,"3,30,217,101",white,picons/80.0e/harmonic/white/1_0_1_1E_14_1113_3200000_0_0_0.png,64db5cba739584bb04328933a2a1ef6b104312e6b3bb61b000619091bef6debd
6509,picons/23.5e/m7-group/transparent/1_0_16_51B8_C96_3_EB0000_0_0_0.png,3812d2f9971de3c72a04b34e45a929acbea7f40da5c90e1b387f7fdecdcd0d1c,AUTO-FIXED,7453,31,0,,0,cfed7d48964ef1f03882cd77d1843855fdea59a65efddb80b051288abbe6b2c7,True,True,0.87878788,"8,0,212,132",white,picons/23.5e/m7-group/white/1_0_16_51B8_C96_3_EB0000_0_0_0.png,cfed7d48964ef1f03882cd77d1843855fdea59a65efddb80b051288abbe6b2c7
13163,picons/7.0w/admc/transparent/1_0_2_E_32_64_DCA0000_0_0_0.png,bc0927a13653c789eb3c1d27d968a3a7a760452eea7d63812531a5aaa18be9b3,REVIEW,7390,6,1,two-tone,38,e0a9939e682db6eb7e61202c512909d94760e8bd3f1367cd429bae50c78e7d34,True,True,0.95774648,"4,19,217,113",white,picons/7.0w/admc/white/1_0_2_E_32_64_DCA0000_0_0_0.png,fea0c144833f6a5c3e574a6f9385fba4fc68ff79230719835782d59393a9e2a4
14410,picons/80.0e/harmonic/transparent/1_0_1_23_14_1113_3200000_0_0_0.png,c752be5e71d6aecb18c8d8acd77da70692a73921190ad620dbe6eda2b1d80596,REVIEW,7355,11,1,two-tone,11,2f142a9d4321bd96163373b79a6c546605e9540a211149b3d5914cb060ea30bf,True,True,0.95327103,"3,30,217,101",white,picons/80.0e/harmonic/white/1_0_1_23_14_1113_3200000_0_0_0.png,03e109b930ef379cc66dfef6427a8ef72060c768354a6c2ca6f29784b1be3a8d
14404,picons/80.0e/harmonic/transparent/1_0_1_20_14_1113_3200000_0_0_0.png,decda9f523d780ac041d48cb81b07a8c8fe7e80e7f8764edbf8558959874d909,REVIEW,7027,7,2,two-tone,0,35ac0cc702ad686a8f3ee73819c5ae95ed6e1388eee92f6c4344e6d0d88cbc40,True,True,0.95327103,"3,30,217,102",white,picons/80.0e/harmonic/white/1_0_1_20_14_1113_3200000_0_0_0.png,35ac0cc702ad686a8f3ee73819c5ae95ed6e1388eee92f6c4344e6d0d88cbc40
1651,picons/1.9e/neosat/transparent/1_0_1_226_18_3_130000_0_0_0.png,ca4a638e591cc080a5e7833001769fa28721434a33cc617cc731b2e89109c534,REVIEW,3265,9,14,"touches-protected-chroma,two-tone",3555,11959f12416a4bf07deb4442b09fdb5b1d73e06f8755db1c5923a47d45587d8f,True,True,0.93577982,"1,31,219,101",white,picons/1.9e/neosat/white/1_0_1_226_18_3_130000_0_0_0.png,3e2048a727f40ea3490334acc5e585c14e727f8e76bb495512e72b52676b2c23
5952,picons/19.2e/rtl/transparent/1_0_1_7085_443_1_C00000_0_0_0.png,ca4a638e591cc080a5e7833001769fa28721434a33cc617cc731b2e89109c534,REVIEW,3265,9,14,"touches-protected-chroma,two-tone",3555,11959f12416a4bf07deb4442b09fdb5b1d73e06f8755db1c5923a47d45587d8f,True,True,0.93577982,"1,31,219,101",white,picons/19.2e/rtl/white/1_0_1_7085_443_1_C00000_0_0_0.png,3e2048a727f40ea3490334acc5e585c14e727f8e76bb495512e72b52676b2c23
6839,picons/23.5e/skylink/transparent/1_0_1_2F1C_441_1_C00000_0_0_0.png,ca4a638e591cc080a5e7833001769fa28721434a33cc617cc731b2e89109c534,REVIEW,3265,9,14,"touches-protected-chroma,two-tone",3555,11959f12416a4bf07deb4442b09fdb5b1d73e06f8755db1c5923a47d45587d8f,True,True,0.93577982,"1,31,219,101",white,picons/23.5e/skylink/white/1_0_1_2F1C_441_1_C00000_0_0_0.png,3e2048a727f40ea3490334acc5e585c14e727f8e76bb495512e72b52676b2c23
8023,picons/26.0e/jmc/transparent/1_0_1_193_12D_2BE_1040000_0_0_0.png,fc0f8a8c632a0c1328f7c66c33ba9ff442596b31c54cc4fde3e7cb104315d4bf,REVIEW,5,3,5,"touches-protected-chroma,two-tone",6809,124fd35b2a1447263de0d1ce38b884c89cd240caa4767f3e2c95b7d8baf59c04,True,True,0.94009217,"2,27,219,104",white,picons/26.0e/jmc/white/1_0_1_193_12D_2BE_1040000_0_0_0.png,1f6a14643fff2248cd7adfc1d282a7d74e4aac977ebfdc92c64482522f248357
