review_number,source,source_sha256,status,changed_pixels,changed_components,unsafe_components,unsafe_reason,pixels_different_from_current,candidate_png_sha256,alpha_unchanged,protected_chromatic_pixels_unchanged,fit_scale,fit_bbox,style,current_output,current_output_sha256
10064,picons/36.0e/feed-services/transparent/1_0_1_1_1_FFFF_168ACF4_0_0_0.png,ca2dd72095e824a260516fc1960612fe2d71717f41ff528f85819b41481a61ba,REVIEW,6,1,2,two-tone,6589,b898fb6098f23184aaca1f438bf29cc5b06dd76c773e47dced1a2279007abede,True,True,0.93577982,"1,22,219,110",white,picons/36.0e/feed-services/white/1_0_1_1_1_FFFF_168ACF4_0_0_0.png,5ac1142de57ca9b60293c8d96b4b6a823798db48b03367febe225746eabe6473
4953,picons/16.0e/total-tv/transparent/1_0_1_6EC_C544_16E_A00000_0_0_0.png,1a3dd50d2d7f224528e73e5afef065bfad82071771029da29ad90c24cc0ac6e0,REVIEW,2455,4,9,"touches-protected-chroma,two-tone",3987,09f2ed08473cadcfd2de0021d35e2727a93079e0100723462ad8bf7cb639f3d5,True,True,0.92063492,"2,3,217,129",white,picons/16.0e/total-tv/white/1_0_1_6EC_C544_16E_A00000_0_0_0.png,0e58d21caa910f38707f445e27cbc1295dd4ada35d5948c158ec0362f3450826
7232,picons/23.5e/telekom-srbija/transparent/1_0_1_4E64_CA4_3_EB0000_0_0_0.png,1a3dd50d2d7f224528e73e5afef065bfad82071771029da29ad90c24cc0ac6e0,REVIEW,2455,4,9,"touches-protected-chroma,two-tone",3987,09f2ed08473cadcfd2de0021d35e2727a93079e0100723462ad8bf7cb639f3d5,True,True,0.92063492,"2,3,217,129",white,picons/23.5e/telekom-srbija/white/1_0_1_4E64_CA4_3_EB0000_0_0_0.png,0e58d21caa910f38707f445e27cbc1295dd4ada35d5948c158ec0362f3450826
9949,picons/30.0w/star-crime-hd/transparent/1_0_1_193_27_36_CE40000_0_0_0.png,1a3dd50d2d7f224528e73e5afef065bfad82071771029da29ad90c24cc0ac6e0,REVIEW,2455,4,9,"touches-protected-chroma,two-tone",3987,09f2ed08473cadcfd2de0021d35e2727a93079e0100723462ad8bf7cb639f3d5,True,True,0.92063492,"2,3,217,129",white,picons/30.0w/star-crime-hd/white/1_0_1_193_27_36_CE40000_0_0_0.png,0e58d21caa910f38707f445e27cbc1295dd4ada35d5948c158ec0362f3450826
1370,picons/0.8w/telenor/transparent/1_0_19_410_46_46_E080000_0_0_0.png,6e28f318e59d355843ec80ad3b97c6230ec211f6bfbbab3eddd996024cfa4a4e,REVIEW,6437,19,6,touches-protected-chroma,18,46cf939ae29826b092084f319fb323ac3204f07283d2c0b903e3550e88df5139,True,True,0.93577982,"1,36,219,95",white,picons/0.8w/telenor/white/1_0_19_410_46_46_E080000_0_0_0.png,95b8d18b2021d939dbbd4afc98e2dd8308b47dec42aece282b51eb15c5173e5e
7831,picons/26.0e/admc/transparent/1_0_1_8_1FA9_2BE_1040000_0_0_0.png,8d2fe7c1cbe9f836689cb9546a4fc282a7c2288312d10ce0e3c813a82486ad93,REVIEW,0,0,2,two-tone,6160,077fb85c5c67a486108e06d57f34886e04ec4dfc2850a2e5f730e177f6efb952,True,True,0.93577982,"1,27,219,105",white,picons/26.0e/admc/white/1_0_1_8_1FA9_2BE_1040000_0_0_0.png,6c20c668d1748a26a3466c64e7a3433d255d7c3592fe0d8b8a0cf9fb69ba360b
497,picons/0.8w/freesat/transparent/1_0_1_1F4B_AF8_BB_E080000_0_0_0.png,884b60b753ee2cd9288d14c81548c835ffceaa8fda61a0a990e241bb910c708e,AUTO-FIXED,6362,15,0,,0,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015,True,True,0.93577982,"1,30,219,101",white,picons/0.8w/freesat/white/1_0_1_1F4B_AF8_BB_E080000_0_0_0.png,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015
1487,picons/0.8w/telly/transparent/1_0_19_FBF_AF4_BB_E080000_0_0_0.png,884b60b753ee2cd9288d14c81548c835ffceaa8fda61a0a990e241bb910c708e,AUTO-FIXED,6362,15,0,,0,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015,True,True,0.93577982,"1,30,219,101",white,picons/0.8w/telly/white/1_0_19_FBF_AF4_BB_E080000_0_0_0.png,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015
4169,picons/16.0e/antiksat/transparent/1_0_1F_4C1_76C1_16E_A00000_0_0_0.png,884b60b753ee2cd9288d14c81548c835ffceaa8fda61a0a990e241bb910c708e,AUTO-FIXED,6362,15,0,,0,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015,True,True,0.93577982,"1,30,219,101",white,picons/16.0e/antiksat/white/1_0_1F_4C1_76C1_16E_A00000_0_0_0.png,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015
6973,picons/23.5e/skylink/transparent/1_0_1_36F8_C8C_3_EB0000_0_0_0.png,884b60b753ee2cd9288d14c81548c835ffceaa8fda61a0a990e241bb910c708e,AUTO-FIXED,6362,15,0,,0,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015,True,True,0.93577982,"1,30,219,101",white,picons/23.5e/skylink/white/1_0_1_36F8_C8C_3_EB0000_0_0_0.png,f6607b1dcbaba4cf979e3a3e386edbb6c2b1ee81b5ec5dfb43a7c655f38ec015
1606,picons/1.9e/neosat/transparent/1_0_1_1FF_17_3_130000_0_0_0.png,274cda2726a186af0c35e2b1561f1fa76aab97cad4ba799658ae6b0d659998b6,AUTO-FIXED,6343,46,0,,2,0f26f7fddde92583cef1e00738f1ca25908e977540d5bb2679f41f38bfc7c6ae,True,True,0.93577982,"1,9,219,123",white,picons/1.9e/neosat/white/1_0_1_1FF_17_3_130000_0_0_0.png,47eafc2884e6ce4e533e6e2126d51e90146bb9b888f2eff82277af07a82f6119
13390,picons/7.0w/muxip/transparent/1_0_1_1F7_9E34_77E_DCA0000_0_0_0.png,0002ddc099d1fa74cacb5e52075bc3f0db1b4d124d75f3baf03a16fe4d4ce5da,REVIEW,765,7,3,"touches-protected-chroma,two-tone",5397,2f2563d7e50c765c4a01e4a4e3184eb152c4e5aa4b87cc2aed9d057bde38af9d,True,True,0.94883721,"2,12,217,120",white,picons/7.0w/muxip/white/1_0_1_1F7_9E34_77E_DCA0000_0_0_0.png,b3a482e204e93d8e5c2d09b9322fb3277314f413e186a9447bba7939ceeee015
9456,picons/30.0w/dvb-s-qpsk-11516v-330-0ae/transparent/1_0_2_3E8_65_0_CE4ACFC_0_0_0.png,4e0d61adf674d7ffadc3646b87744b9530f7950ad592e17d8cddc8c86304a563,REVIEW,802,8,9,"touches-protected-chroma,two-tone",5088,0944efbc09bb3f041abde8333a1e0f92f526cf9d96c3aa5d05a2f49131245639,True,True,0.92727273,"0,19,220,114",white,picons/30.0w/dvb-s-qpsk-11516v-330-0ae/white/1_0_2_3E8_65_0_CE4ACFC_0_0_0.png,05e72a191f95b08ea8fa1dd4ae64e235d625d5abf6d2aa7db7fdf0fafa721379
13165,picons/7.0w/admc/transparent/1_0_2_F_32_64_DCA0000_0_0_0.png,71cecfb4e4c873bea8393b84cefd054c5f88adfd4d7b30bae2a52988a3299c65,REVIEW,6122,4,1,two-tone,8,7981096357405d618ba1d7a3dc45dcc27f2ce382e48ad16bbf9ff57ee48ec82d,True,True,0.94883721,"2,22,217,110",white,picons/7.0w/admc/white/1_0_2_F_32_64_DCA0000_0_0_0.png,4bb3efffff48c00a3bbd180f69c1b82da17974a66c357d38a892d11aa1b3f1f0
PASS-control,picons/0.8w/digislovakia/transparent/1_0_16_3F6_AF1_BB_E080000_0_0_0.png,9511e45fbb54d433bac178437d0f4abb11248b68f675fa449f9c058ba2a3224b,PASS,0,0,0,,0,ef9f0d92c37e223216806fa8a5f2ab9e0316a11c70b91eb0263a383a6923f195,True,True,1.00000000,"43,18,177,114",white,PASS-control,
