review_number,branch,source,source_sha256,previous_output,previous_output_sha256,approved_output,approved_output_sha256,git_blob_sha,user_decision,automatic_status,source_pixels_recoloured,pixels_different_from_previous,source_overlay_alpha_unchanged,protected_chromatic_pixels_unchanged,date
6099,phase4-v10-component-mask-test,picons/19.2e/ses-astra/transparent/1_0_1F_183D_40B_1_C00000_0_0_0.png,6d3d0e15193dc1b158db08808dff300d76a512aaa3bf34ebfc05646bbcf817ab,picons/19.2e/ses-astra/white/1_0_1F_183D_40B_1_C00000_0_0_0.png,94f8032c9f0c8dc845507c8eb9561ef256bb88fd7a0e675a6213ac87c9845e40,picons/19.2e/ses-astra/white/1_0_1F_183D_40B_1_C00000_0_0_0.png,37ba4c88b4bdb7115bac11e4744df4a5c4beb101126eb3a2368b9b749cb8761b,57c01b108a777aa4162c9e229595c322e72d3f3f,RIGHT_CANDIDATE_MANUALLY_APPROVED,REVIEW,8718,11,true,true,2026-09-25
7191,phase4-v10-component-mask-test,picons/23.5e/telekom-srbija/transparent/1_0_1_4E4D_CA5_3_EB0000_0_0_0.png,1bae90cc62b79d835cc43b75744949ad850b2ed51d5dccf227b110000de4b878,picons/23.5e/telekom-srbija/white/1_0_1_4E4D_CA5_3_EB0000_0_0_0.png,6a1b1a102def567285e56a5ac02b62a7248323df75fe7efba2667b69a74ffb73,picons/23.5e/telekom-srbija/white/1_0_1_4E4D_CA5_3_EB0000_0_0_0.png,1420bd9a0c62ae6f087c6024f4cc9ad2a8e77216cff1879be99dc3c4744f2359,04a9c274fdaed1a7e03d924f8827b8798459439d,RIGHT_CANDIDATE_MANUALLY_APPROVED,REVIEW,9105,49,true,true,2026-09-25
