review_number,branch,source,source_sha256,previous_output_sha256,approved_output,approved_output_sha256,git_blob_sha,user_decision,automatic_status,changed_pixels,alpha_unchanged,protected_chromatic_pixels_unchanged,date
15551,phase4-v10-component-mask-test,picons/9.0e/ote/transparent/1_0_1_46E_8_AA_5A0000_0_0_0.png,2a072ef2f098c1de9e03f2bf4e8b9155e95539a2623786bf7f9d0929338f8191,121a378a80c5cdc5a30ee7cdf005de81d5b3adc7c5c354a0bdc6f04914c8d993,picons/9.0e/ote/white/1_0_1_46E_8_AA_5A0000_0_0_0.png,d4db70d1df947b5f76c56cf1c66b70e2b941ca8b390c1f38a19002a4c92844d8,7d08c6d4252733cfed8ff51a836e80451b284402,MANUALLY_APPROVED,REVIEW,296,true,true,2026-09-25
4860,phase4-v10-component-mask-test,picons/16.0e/total-tv/transparent/1_0_1_557_75FB_16E_A00000_0_0_0.png,2a072ef2f098c1de9e03f2bf4e8b9155e95539a2623786bf7f9d0929338f8191,121a378a80c5cdc5a30ee7cdf005de81d5b3adc7c5c354a0bdc6f04914c8d993,picons/16.0e/total-tv/white/1_0_1_557_75FB_16E_A00000_0_0_0.png,d4db70d1df947b5f76c56cf1c66b70e2b941ca8b390c1f38a19002a4c92844d8,7d08c6d4252733cfed8ff51a836e80451b284402,MANUAL_DUPLICATE_REUSE,REVIEW,296,true,true,2026-09-25
