review_number,branch,source,source_sha256,previous_output,previous_output_sha256,selected_output,selected_output_sha256,git_blob_sha,user_decision,automatic_status,source_pixels_recoloured,pixels_different_from_previous,source_overlay_alpha_unchanged,protected_chromatic_pixels_unchanged,date
13015,phase4-v10-component-mask-test,picons/68.5e/sentech/transparent/1_0_2_141_2_49_2AD0000_0_0_0.png,c19edbff953b7c4b23e3b7ee8bf93e0e405984cc6ea0923cb54aad8faacbbb11,picons/68.5e/sentech/white/1_0_2_141_2_49_2AD0000_0_0_0.png,ba8253aec7cdfbeca3d5b0732ee1dac69f2365d43b48e72d00137f4b4cd0d2da,picons/68.5e/sentech/white/1_0_2_141_2_49_2AD0000_0_0_0.png,38a7c762af0645529fbf9e61c5cfff3648950e28d8431ad03958aa792baf0f27,7d5fb74bf321196762608bc45729296236cc5b93,USER_DIRECTED_MANUAL_GLYPH_CORRECTION,REVIEW,997,994,true,true,2026-09-25
1856,phase4-v10-component-mask-test,picons/10.0e/bfbs/transparent/1_0_2_1F5C_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,picons/10.0e/bfbs/white/1_0_2_1F5C_1_10_640000_0_0_0.png,8b2912c4c3afbd7c5a632e76019c0d5937f3aee999deb4aacc68a354a9f16c0e,picons/10.0e/bfbs/white/1_0_2_1F5C_1_10_640000_0_0_0.png,8b2912c4c3afbd7c5a632e76019c0d5937f3aee999deb4aacc68a354a9f16c0e,,MIDDLE_CURRENT_RETAINED,REVIEW,0,0,true,true,2026-09-25
