source,source_qc_2_status,reason
picons/0.8w/digi-hu/transparent/1_0_1_D20_5_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi-hu/transparent/1_0_1_DAC_4_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi-hu/transparent/1_0_2_E60_5_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi-hu/transparent/1_0_2_E6A_5_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi-hu/transparent/1_0_2_E74_5_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1785_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_178C_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Phase 1B approved integral rectangular brand geometry
picons/0.8w/digislovakia/transparent/1_0_16_1B69_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1B6A_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1B71_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1B72_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1B73_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1F4B_AF8_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_1F4C_AF8_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_233D_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_233F_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2342_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B03_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B05_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B07_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B09_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B0C_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B0D_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_2B0E_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
