case,project_path,source_sha256,approved_white_sha256,alpha_unchanged,chromatic_pixels_changed
3021,picons/19.2e/csat/white/1_0_19_2719_44C_1_C00000_0_0_0.png,19390f5f727f374b4e8a1aa15cd41247d789c498e59f8f23604391cb2156a669,bc7c748e82f3647266d5a9503a9c30db76ee31f36ee4b8c6813d0c02327d8a4c,true,0
3032,picons/19.2e/csat/white/1_0_1_24C9_43C_1_C00000_0_0_0.png,a345bddce4062016ea56cad350175d6515885fa0b85ecca38247c8890564a965,e773849404809cec90fdec50825bfc02ea2eeb20187537a38bdcdcb8c2d123bf,true,0
3072,picons/19.2e/digital/white/1_0_1_788B_414_1_C00000_0_0_0.png,c6e353de17a899c1ce21dc891002c3c24af73ba7562042d0119fd6b28a6ab574,e3427b452a70b52a062e64f01b28623553b884b294208ef44eba52ababd4a3da,true,0
3096,picons/19.2e/easytools/white/1_0_1_1645_42C_1_C00000_0_0_0.png,2f38ad049a7347f68206e0dc9a5bb924f3673a626b15c1846a2e21e1bf46aad4,e54ec27a0c07f3df35e9c71671febdeaa6cf0810911195963bf612ce0ce3e3ff,true,0
