source,source_sha256,overall_status,source_bbox,geometry_scale,black_status,white_status,black_reason,white_reason,black_changed_pixels,white_changed_pixels,black_output,white_output
picons/7.0w/nilesat/transparent/1_0_2_28A_6_800_DCA0000_0_0_0.png,56807c6082d6090e14f630b04726c1927e2603df656cd020bea085d027953fb5,REVIEW,"27,1,192,131",0.89230769,REVIEW,REVIEW,chromatic component 1 has 19.6% materially low-contrast pixels on BLACK; chromatic component 2 has 13.7% materially low-contrast pixels on BLACK; two-tone achromatic component 5 has 42.9% materially low-contrast pixels on BLACK,chromatic component 1 has 27.5% materially low-contrast pixels on WHITE; chromatic component 2 has 29.8% materially low-contrast pixels on WHITE; chromatic component 3 has 35.8% materially low-contrast pixels on WHITE; chromatic component 4 has 35.3% materially low-contrast pixels on WHITE; two-tone achromatic component 5 has 28.6% materially low-contrast pixels on WHITE; chromatic component 7 has 46.9% materially low-contrast pixels on WHITE; chromatic component 11 has 100.0% materially low-contrast pixels on WHITE,31,2331,picons/7.0w/nilesat/black/1_0_2_28A_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28A_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_28B_6_800_DCA0000_0_0_0.png,32c2b630a62410088e10f7102bc3a0f50479b0dce07ebc0f007fea24d4ea3a93,REVIEW,"0,0,220,132",0.87878788,REVIEW,REVIEW,two-tone achromatic component 1 has 36.1% materially low-contrast pixels on BLACK,two-tone achromatic component 1 has 35.6% materially low-contrast pixels on WHITE,0,0,picons/7.0w/nilesat/black/1_0_2_28B_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28B_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_28C_6_800_DCA0000_0_0_0.png,eb6d4a54774a9f4170ad885aec9ef85937d6131691244b614e8af1c5d45ab018,REVIEW,"0,0,220,132",0.87878788,REVIEW,REVIEW,chromatic component 1 has 33.9% materially low-contrast pixels on BLACK,chromatic component 1 has 28.5% materially low-contrast pixels on WHITE,0,0,picons/7.0w/nilesat/black/1_0_2_28C_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28C_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_28D_6_800_DCA0000_0_0_0.png,cc1d801ed4826a7bc33214cbd99032d8f8affd3275ffbce238391c697d15c05e,REVIEW,"0,42,220,93",0.92727273,REVIEW,REVIEW,two-tone achromatic component 1 has 12.2% materially low-contrast pixels on BLACK; two-tone achromatic component 3 has 13.4% materially low-contrast pixels on BLACK,two-tone achromatic component 1 has 84.6% materially low-contrast pixels on WHITE; two-tone achromatic component 3 has 80.8% materially low-contrast pixels on WHITE,45,0,picons/7.0w/nilesat/black/1_0_2_28D_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28D_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_28E_6_800_DCA0000_0_0_0.png,f87d2daa46a25fc16b03da70b8e2f0154fe2c807178655a5a4375365cde27084,REVIEW,"18,1,201,131",0.89230769,REVIEW,REVIEW,chromatic component 1 has 47.4% materially low-contrast pixels on BLACK; chromatic component 2 has 37.8% materially low-contrast pixels on BLACK; chromatic component 3 has 30.4% materially low-contrast pixels on BLACK; chromatic component 6 has 57.1% materially low-contrast pixels on BLACK; chromatic component 8 has 100.0% materially low-contrast pixels on BLACK; chromatic component 9 has 80.0% materially low-contrast pixels on BLACK; chromatic component 15 has 72.7% materially low-contrast pixels on BLACK; chromatic component 21 has 83.3% materially low-contrast pixels on BLACK; chromatic component 24 has 14.3% materially low-contrast pixels on BLACK,chromatic component 10 has 73.7% materially low-contrast pixels on WHITE; chromatic component 11 has 100.0% materially low-contrast pixels on WHITE; chromatic component 12 has 100.0% materially low-contrast pixels on WHITE; chromatic component 13 has 100.0% materially low-contrast pixels on WHITE; chromatic component 14 has 100.0% materially low-contrast pixels on WHITE; chromatic component 15 has 27.3% materially low-contrast pixels on WHITE; chromatic component 16 has 100.0% materially low-contrast pixels on WHITE; chromatic component 17 has 43.3% materially low-contrast pixels on WHITE; chromatic component 18 has 64.7% materially low-contrast pixels on WHITE; chromatic component 19 has 69.6% materially low-contrast pixels on WHITE; chromatic component 20 has 52.7% materially low-contrast pixels on WHITE; chromatic component 24 has 85.7% materially low-contrast pixels on WHITE,4,0,picons/7.0w/nilesat/black/1_0_2_28E_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28E_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_28F_6_800_DCA0000_0_0_0.png,e050925143df1af062d906c040d281592c1b565b8bb0d36a64a41981feb63a04,REVIEW,"0,0,220,132",0.87878788,REVIEW,REVIEW,two-tone achromatic component 1 has 20.6% materially low-contrast pixels on BLACK,two-tone achromatic component 1 has 64.2% materially low-contrast pixels on WHITE,0,0,picons/7.0w/nilesat/black/1_0_2_28F_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_28F_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_290_6_800_DCA0000_0_0_0.png,5cfc6c6ec53bb46cf8b1b2e167fb76eb6500f7595b0b94ca40744a47502ac87a,REVIEW,"14,7,209,128",0.95867769,AUTO-FIXED,REVIEW,recoloured 8 safely isolated achromatic component(s),two-tone achromatic component 4 has 75.3% materially low-contrast pixels on WHITE,36,0,picons/7.0w/nilesat/black/1_0_2_290_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_290_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_291_6_800_DCA0000_0_0_0.png,3c02c4b2deeea59c44c8b3515ca1e3e1a5922f75662e22c7c243a72e40c39e51,REVIEW,"0,0,220,132",0.87878788,REVIEW,REVIEW,chromatic component 1 has 20.6% materially low-contrast pixels on BLACK,chromatic component 1 has 64.1% materially low-contrast pixels on WHITE,0,0,picons/7.0w/nilesat/black/1_0_2_291_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_291_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_292_6_800_DCA0000_0_0_0.png,8cc8dc23fafc3fdce4d4182e211cbc35b6d96fe82372c0e1d78f39f9f73c4308,REVIEW,"0,0,220,132",0.87878788,REVIEW,REVIEW,chromatic component 1 has 20.6% materially low-contrast pixels on BLACK,chromatic component 1 has 64.0% materially low-contrast pixels on WHITE,0,0,picons/7.0w/nilesat/black/1_0_2_292_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_292_6_800_DCA0000_0_0_0.png
picons/7.0w/nilesat/transparent/1_0_2_2A3_6_800_DCA0000_0_0_0.png,5194085da8af63db43b5ca3c7c790c9a85b2733f88c722a9241c53297e128638,REVIEW,"4,0,220,132",0.87878788,REVIEW,REVIEW,chromatic component 1 has 32.6% materially low-contrast pixels on BLACK; two-tone achromatic component 20 has 41.3% materially low-contrast pixels on BLACK,chromatic component 1 has 59.0% materially low-contrast pixels on WHITE; two-tone achromatic component 20 has 50.3% materially low-contrast pixels on WHITE,139,0,picons/7.0w/nilesat/black/1_0_2_2A3_6_800_DCA0000_0_0_0.png,picons/7.0w/nilesat/white/1_0_2_2A3_6_800_DCA0000_0_0_0.png
